"subject","region","epoch","eyeState","nCp_delta","nCp_theta","nCp_alpha","nCp_beta_smr","nCp_beta","nCp_gamma"
"010007",7,6,1,4,6,7,0,1,5
"010007",1,7,1,0,5,0,0,2,0
"010007",2,7,1,1,0,1,0,2,1
"010007",3,7,1,9,9,0,5,3,4
"010007",4,7,1,5,3,0,1,5,0
"010007",5,7,1,0,0,0,0,8,0
"010007",6,7,1,2,2,0,9,7,1
"010007",7,7,1,4,1,0,0,14,0
"010007",1,8,1,0,0,6,3,0,0
"010007",2,8,1,3,3,13,2,1,0
"010007",3,8,1,0,0,12,0,1,5
"010007",4,8,1,4,4,0,4,5,5
"010007",5,8,1,8,0,0,3,6,1
"010007",6,8,1,5,1,5,3,4,0
"010007",7,8,1,2,0,11,8,10,1
"010007",1,1,0,0,3,21,2,2,11
"010007",2,1,0,0,1,18,0,3,4
"010007",3,1,0,0,6,22,1,0,4
